"","y","black","female","v.prev.full","age","edu","age.edu","state","region.full"
"1",NA,0,1,0.566633343823751,1,3,3,7,1
"2",1,0,1,0.526566670163472,2,4,8,39,1
"3",0,0,1,0.564166665871938,4,2,14,31,1
"4",0,0,1,0.566633343823751,1,3,3,7,1
"5",1,0,1,0.52436664425532,2,2,6,33,1
"6",1,0,1,0.52436664425532,4,4,16,33,1
"7",1,0,0,0.526566670163472,2,2,6,39,1
"8",1,0,1,0.549599981244405,4,2,14,20,1
"9",0,0,0,0.52436664425532,3,4,12,33,1
"10",0,0,0,0.478700007629395,3,1,9,40,1
"11",0,0,1,0.564166665871938,2,4,8,31,1
"12",1,0,1,0.52436664425532,4,3,15,33,1
"13",1,0,1,0.52436664425532,2,4,8,33,1
"14",0,0,1,0.564166665871938,2,4,8,31,1
"15",0,0,1,0.489766651884715,2,4,8,22,1
"16",NA,1,1,0.566633343823751,1,2,2,7,1
"17",1,0,0,0.564166665871938,4,2,14,31,1
"18",1,0,0,0.526566670163472,4,1,13,39,1
"19",0,0,1,0.564166665871938,1,2,2,31,1
"20",0,0,0,0.52436664425532,2,3,7,33,1
"21",0,0,1,0.52436664425532,4,3,15,33,1
"22",0,0,0,0.566633343823751,1,2,2,7,1
"23",1,0,0,0.526566670163472,3,2,10,39,1
"24",0,0,0,0.52436664425532,2,4,8,33,1
"25",1,0,0,0.52436664425532,2,4,8,33,1
"26",0,0,1,0.489766651884715,3,4,12,22,1
"27",1,0,0,0.564166665871938,1,2,2,31,1
"28",1,0,1,0.564166665871938,3,4,12,31,1
"29",0,0,1,0.564166665871938,4,3,15,31,1
"30",0,0,0,0.489766651884715,2,1,5,22,1
"31",0,0,1,0.52436664425532,3,2,10,33,1
"32",0,0,0,0.594033358287811,4,1,13,44,3
"33",0,0,0,0.489766651884715,2,3,7,22,1
"34",0,0,0,0.526566670163472,2,4,8,39,1
"35",0,0,0,0.52436664425532,1,3,3,33,1
"36",0,0,1,0.61163329073588,2,2,6,10,3
"37",1,0,1,0.564166665871938,4,1,13,31,1
"38",1,0,1,0.539733344459534,3,2,10,4,3
"39",1,0,1,0.564166665871938,3,2,10,31,1
"40",0,0,0,0.594033358287811,3,4,12,44,3
"41",1,0,1,0.537000003655752,2,2,6,14,2
"42",1,0,0,0.572766618665059,3,4,12,41,3
"43",1,0,1,0.489766651884715,1,4,4,22,1
"44",1,0,0,0.61163329073588,1,1,1,10,3
"45",1,0,1,0.572766618665059,2,4,8,41,3
"46",1,0,0,0.526566670163472,1,3,3,39,1
"47",1,0,1,0.572766618665059,2,4,8,41,3
"48",1,0,0,0.584099987602234,3,2,10,19,3
"49",0,0,1,0.537000003655752,2,2,6,14,2
"50",NA,0,1,0.61163329073588,4,2,14,10,3
"51",0,0,1,0.608066638533274,2,4,8,47,3
"52",0,0,1,0.603233325068156,3,1,9,37,3
"53",0,0,1,0.489766651884715,1,4,4,22,1
"54",1,0,1,0.564166665871938,3,1,9,31,1
"55",0,0,1,0.523033343982697,2,3,7,11,3
"56",1,0,0,0.552200000635783,1,3,3,36,2
"57",1,0,0,0.505500021378199,2,2,6,24,2
"58",1,0,1,0.584099987602234,2,2,6,19,3
"59",1,0,0,0.566633343823751,2,3,7,7,1
"60",1,0,0,0.582999997297923,1,4,4,25,3
"61",0,1,1,0.152999997138977,2,4,8,9,5
"62",0,0,1,0.608066638533274,4,1,13,47,3
"63",0,0,0,0.602099974091848,4,1,13,17,2
"64",0,0,1,0.533566686375936,2,2,6,26,2
"65",0,0,1,0.493566658401489,2,2,6,49,1
"66",1,0,0,0.537000003655752,2,4,8,14,2
"67",0,0,1,0.529166691144307,2,3,7,18,3
"68",0,0,1,0.501166654507319,2,4,8,21,1
"69",NA,0,1,0.527833360989889,2,4,8,50,2
"70",1,0,1,0.603233325068156,3,4,12,37,3
"71",1,1,0,0.572766618665059,1,2,2,41,3
"72",1,0,1,0.523033343982697,1,3,3,11,3
"73",1,0,1,0.554300017801921,2,3,7,43,3
"74",0,0,0,0.537000003655752,3,4,12,14,2
"75",1,0,0,0.52436664425532,1,2,2,33,1
"76",1,0,0,0.582999997297923,1,2,2,25,3
"77",1,0,1,0.493566658401489,2,3,7,49,1
"78",1,0,1,0.584099987602234,2,4,8,19,3
"79",1,0,1,0.582999997297923,3,2,10,25,3
"80",NA,0,1,0.608066638533274,3,2,10,47,3
"81",NA,0,1,0.572766618665059,3,1,9,41,3
"82",1,0,0,0.594033358287811,2,4,8,44,3
"83",1,0,0,0.554300017801921,3,1,9,43,3
"84",1,0,0,0.608066638533274,2,3,7,47,3
"85",0,0,0,0.537000003655752,2,2,6,14,2
"86",NA,0,0,0.533566686375936,3,1,9,26,2
"87",1,0,1,0.584099987602234,4,2,14,19,3
"88",1,0,0,0.602099974091848,1,1,1,17,2
"89",1,0,1,0.571833309491475,3,1,9,34,3
"90",1,0,0,0.523033343982697,3,2,10,11,3
"91",1,0,1,0.594033358287811,1,4,4,44,3
"92",1,0,0,0.505500021378199,1,4,4,24,2
"93",1,1,1,0.61163329073588,1,2,2,10,3
"94",0,0,1,0.61163329073588,4,4,16,10,3
"95",1,0,1,0.537000003655752,1,2,2,14,2
"96",0,0,0,0.552200000635783,1,3,3,36,2
"97",0,0,0,0.572766618665059,1,2,2,41,3
"98",0,0,0,0.523033343982697,3,1,9,11,3
"99",0,1,1,0.594033358287811,3,3,11,44,3
"100",0,0,1,0.523033343982697,1,2,2,11,3
"101",1,0,0,0.61163329073588,2,3,7,10,3
"102",0,0,0,0.594033358287811,2,4,8,44,3
"103",0,0,1,0.537000003655752,2,4,8,14,2
"104",0,0,0,0.527833360989889,3,3,11,50,2
"105",0,1,1,0.594033358287811,4,2,14,44,3
"106",0,0,0,0.501166654507319,2,2,6,21,1
"107",1,0,0,0.501166654507319,3,4,12,21,1
"108",0,0,1,0.554300017801921,4,2,14,43,3
"109",0,0,1,0.529166691144307,1,2,2,18,3
"110",0,0,0,0.548066697978973,1,2,2,23,2
"111",1,0,1,0.533566686375936,2,2,6,26,2
"112",1,0,0,0.608066638533274,2,1,5,47,3
"113",1,0,1,0.584099987602234,2,3,7,19,3
"114",NA,0,1,0.505500021378199,1,2,2,24,2
"115",0,0,0,0.61163329073588,1,2,2,10,3
"116",1,0,0,0.571833309491475,3,4,12,34,3
"117",1,0,1,0.594033358287811,3,2,10,44,3
"118",0,1,0,0.61163329073588,2,2,6,10,3
"119",1,0,1,0.581833334445953,3,4,12,15,2
"120",NA,0,0,0.539733344459534,4,2,14,4,3
"121",1,0,0,0.582999997297923,1,3,3,25,3
"122",0,0,1,0.548066697978973,4,2,14,23,2
"123",0,0,1,0.594033358287811,1,3,3,44,3
"124",1,0,1,0.571833309491475,2,2,6,34,3
"125",1,0,1,0.571833309491475,1,1,1,34,3
"126",1,0,1,0.594033358287811,4,1,13,44,3
"127",1,0,1,0.608066638533274,1,3,3,47,3
"128",1,0,1,0.493566658401489,3,1,9,49,1
"129",1,0,0,0.529166691144307,2,1,5,18,3
"130",1,0,0,0.61163329073588,2,1,5,10,3
"131",0,1,1,0.548066697978973,2,2,6,23,2
"132",0,0,0,0.61163329073588,2,2,6,10,3
"133",0,0,0,0.505500021378199,4,1,13,24,2
"134",0,0,0,0.594033358287811,1,1,1,44,3
"135",1,0,1,0.537000003655752,3,4,12,14,2
"136",0,0,1,0.493566658401489,2,2,6,49,1
"137",NA,0,1,0.505500021378199,4,2,14,24,2
"138",0,1,0,0.61163329073588,2,2,6,10,3
"139",1,0,1,0.554300017801921,4,2,14,43,3
"140",1,0,1,0.613366670163472,2,3,7,3,4
"141",0,0,1,0.657366662693024,2,4,8,13,4
"142",0,0,1,0.594033358287811,3,4,12,44,3
"143",1,0,1,0.537000003655752,4,4,16,14,2
"144",1,0,1,0.594033358287811,4,4,16,44,3
"145",1,0,1,0.552200000635783,2,2,6,36,2
"146",1,0,1,0.582999997297923,2,4,8,25,3
"147",1,0,1,0.493566658401489,4,1,13,49,1
"148",0,0,1,0.608066638533274,3,4,12,47,3
"149",1,0,1,0.554433295345306,2,2,6,48,4
"150",1,0,0,0.61163329073588,3,4,12,10,3
"151",0,0,1,0.524800026067098,1,4,4,16,2
"152",0,0,0,0.572766618665059,1,3,3,41,3
"153",1,0,0,0.594033358287811,4,4,16,44,3
"154",1,0,0,0.552200000635783,1,3,3,36,2
"155",1,0,1,0.505500021378199,1,3,3,24,2
"156",1,0,1,0.554433295345306,3,1,9,48,4
"157",1,0,1,0.552200000635783,1,3,3,36,2
"158",1,0,1,0.537000003655752,3,3,11,14,2
"159",1,0,0,0.61163329073588,1,3,3,10,3
"160",1,0,1,0.665466688283284,4,1,13,28,2
"161",1,0,0,0.543666702906291,2,4,8,5,4
"162",0,0,0,0.505500021378199,3,2,10,24,2
"163",0,0,0,0.534600032583872,2,2,6,8,1
"164",0,0,1,0.543666702906291,2,3,7,5,4
"165",0,0,1,0.548066697978973,2,2,6,23,2
"166",0,0,1,0.665466688283284,1,2,2,28,2
"167",1,0,0,0.614366671593984,2,4,8,35,2
"168",0,0,1,0.543666702906291,1,3,3,5,4
"169",0,0,1,0.613366670163472,3,1,9,3,4
"170",1,0,0,0.61163329073588,2,4,8,10,3
"171",1,0,0,0.554433295345306,1,2,2,48,4
"172",1,0,1,0.665466688283284,1,4,4,28,2
"173",1,0,0,0.594033358287811,3,4,12,44,3
"174",0,0,0,0.548066697978973,1,3,3,23,2
"175",1,0,1,0.537000003655752,1,2,2,14,2
"176",0,0,1,0.533566686375936,2,2,6,26,2
"177",1,0,1,0.548066697978973,1,4,4,23,2
"178",0,0,1,0.529166691144307,3,2,10,18,3
"179",1,0,1,0.602099974091848,2,2,6,17,2
"180",0,1,1,0.537000003655752,2,3,7,14,2
"181",0,0,1,0.548066697978973,3,4,12,23,2
"182",1,0,0,0.543666702906291,3,2,10,5,4
"183",0,0,0,0.537000003655752,1,2,2,14,2
"184",0,0,1,0.543666702906291,3,2,10,5,4
"185",0,0,1,0.543666702906291,2,3,7,5,4
"186",0,0,1,0.537000003655752,3,3,11,14,2
"187",1,0,0,0.543666702906291,4,3,15,5,4
"188",0,0,1,0.547800015417735,3,4,12,32,4
"189",NA,0,1,0.505500021378199,4,2,14,24,2
"190",1,0,1,0.552200000635783,2,3,7,36,2
"191",0,0,1,0.543666702906291,3,3,11,5,4
"192",0,0,1,0.554433295345306,4,2,14,48,4
"193",NA,0,1,0.527833360989889,1,2,2,50,2
"194",NA,0,0,0.543666702906291,2,4,8,5,4
"195",0,0,0,0.602099974091848,2,4,8,17,2
"196",0,0,1,0.554433295345306,1,3,3,48,4
"197",1,0,1,0.554433295345306,3,3,11,48,4
"198",0,0,0,0.543666702906291,2,4,8,5,4
"199",1,0,0,0.543666702906291,3,3,11,5,4
"200",1,0,0,0.543666702906291,1,2,2,5,4
"201",0,0,1,0.547800015417735,2,3,7,32,4
"202",0,0,0,0.544333343505859,2,4,8,38,4
"203",0,0,1,0.552200000635783,3,2,10,36,2
"204",1,0,0,0.543666702906291,2,4,8,5,4
"205",1,0,0,0.527833360989889,2,3,7,50,2
"206",0,0,0,0.543666702906291,4,2,14,5,4
"207",1,0,0,0.547800015417735,3,2,10,32,4
"208",1,0,1,0.543666702906291,4,2,14,5,4
"209",1,0,1,0.554433295345306,4,3,15,48,4
"210",0,0,0,0.543666702906291,2,3,7,5,4
"211",1,0,0,0.543666702906291,3,4,12,5,4
"212",1,0,0,0.692699998092651,3,4,12,45,4
"213",1,0,1,0.692699998092651,1,3,3,45,4
"214",1,0,1,0.543666702906291,3,2,10,5,4
"215",1,1,1,0.594033358287811,2,4,8,44,3
"216",1,0,1,0.543666702906291,2,3,7,5,4
"217",0,0,0,0.489766651884715,2,4,8,22,1
"218",0,0,0,0.564166665871938,2,2,6,31,1
"219",0,0,1,0.564166665871938,1,4,4,31,1
"220",1,0,1,0.554300017801921,2,3,7,43,3
"221",1,0,0,0.61163329073588,2,4,8,10,3
"222",0,0,1,0.543666702906291,3,2,10,5,4
"223",0,0,1,0.552200000635783,4,3,15,36,2
"224",1,0,1,0.543666702906291,2,2,6,5,4
"225",1,0,0,0.52436664425532,1,1,1,33,1
"226",1,0,0,0.552200000635783,1,2,2,36,2
"227",1,0,1,0.543666702906291,2,3,7,5,4
"228",0,1,0,0.537000003655752,1,4,4,14,2
"229",0,0,0,0.572766618665059,1,2,2,41,3
"230",0,0,1,0.554433295345306,3,3,11,48,4
"231",1,0,0,0.543666702906291,2,4,8,5,4
"232",1,0,1,0.548066697978973,3,4,12,23,2
"233",0,0,0,0.52436664425532,1,4,4,33,1
"234",1,0,1,0.527833360989889,2,4,8,50,2
"235",0,0,1,0.552200000635783,2,2,6,36,2
"236",0,0,1,0.552200000635783,1,2,2,36,2
"237",0,0,0,0.52436664425532,3,4,12,33,1
"238",1,0,1,0.608066638533274,3,3,11,47,3
"239",0,0,1,0.478700007629395,2,3,7,40,1
"240",1,0,1,0.537000003655752,2,4,8,14,2
"241",1,0,1,0.552200000635783,1,2,2,36,2
"242",1,0,0,0.543666702906291,2,2,6,5,4
"243",0,0,1,0.489766651884715,3,4,12,22,1
"244",1,0,1,0.543666702906291,1,2,2,5,4
"245",1,0,0,0.544333343505859,2,2,6,38,4
"246",NA,0,0,0.523033343982697,2,3,7,11,3
"247",0,0,1,0.478700007629395,4,1,13,40,1
"248",1,0,0,0.613366670163472,3,2,10,3,4
"249",1,0,1,0.527833360989889,1,4,4,50,2
"250",NA,0,1,0.505500021378199,4,2,14,24,2
"251",1,0,0,0.692699998092651,2,4,8,45,4
"252",1,0,0,0.505500021378199,1,2,2,24,2
"253",1,0,0,0.552200000635783,4,2,14,36,2
"254",0,0,1,0.524800026067098,3,2,10,16,2
"255",0,0,0,0.549599981244405,1,4,4,20,1
"256",0,0,0,0.594033358287811,1,4,4,44,3
"257",1,0,1,0.547800015417735,2,3,7,32,4
"258",1,0,1,0.527833360989889,2,2,6,50,2
"259",0,0,1,0.613366670163472,3,2,10,3,4
"260",0,0,1,0.548066697978973,3,2,10,23,2
"261",0,0,1,0.505500021378199,2,3,7,24,2
"262",NA,0,0,0.543666702906291,1,3,3,5,4
"263",1,0,0,0.489766651884715,3,4,12,22,1
"264",1,0,1,0.584566701952616,2,3,7,6,4
"265",1,0,1,0.564166665871938,2,4,8,31,1
"266",1,0,0,0.608066638533274,1,3,3,47,3
"267",1,0,1,0.505500021378199,1,3,3,24,2
"268",1,0,1,0.501166654507319,1,3,3,21,1
"269",1,0,0,0.493566658401489,3,2,10,49,1
"270",1,0,0,0.548066697978973,2,2,6,23,2
"271",0,0,1,0.584566701952616,2,4,8,6,4
"272",0,0,1,0.564166665871938,3,2,10,31,1
"273",1,0,1,0.554433295345306,1,3,3,48,4
"274",1,0,1,0.602099974091848,1,3,3,17,2
"275",1,0,0,0.603233325068156,1,3,3,37,3
"276",1,0,1,0.552200000635783,3,2,10,36,2
"277",1,0,1,0.552200000635783,3,4,12,36,2
"278",0,0,0,0.543666702906291,2,4,8,5,4
"279",0,1,0,0.52436664425532,2,4,8,33,1
"280",0,1,0,0.554300017801921,1,3,3,43,3
"281",0,1,0,0.584099987602234,1,2,2,19,3
"282",0,0,0,0.533566686375936,1,4,4,26,2
"283",1,0,0,0.554300017801921,3,2,10,43,3
"284",0,1,0,0.584099987602234,2,3,7,19,3
"285",1,0,0,0.564166665871938,1,3,3,31,1
"286",0,0,1,0.61163329073588,4,2,14,10,3
"287",1,0,0,0.526566670163472,3,4,12,39,1
"288",0,0,1,0.554300017801921,2,4,8,43,3
"289",1,0,1,0.489766651884715,1,2,2,22,1
"290",0,0,1,0.548066697978973,2,4,8,23,2
"291",1,0,1,0.523033343982697,3,2,10,11,3
"292",0,0,1,0.537000003655752,3,1,9,14,2
"293",1,1,0,0.572766618665059,1,2,2,41,3
"294",1,0,1,0.571833309491475,3,3,11,34,3
"295",0,0,0,0.537000003655752,1,2,2,14,2
"296",0,0,0,0.493566658401489,2,3,7,49,1
"297",0,0,0,0.61163329073588,1,1,1,10,3
"298",0,0,0,0.548066697978973,3,4,12,23,2
"299",0,0,1,0.489766651884715,2,2,6,22,1
"300",0,0,0,0.527833360989889,1,4,4,50,2
"301",0,0,0,0.52436664425532,2,2,6,33,1
"302",0,0,1,0.554300017801921,3,2,10,43,3
"303",0,0,0,0.539733344459534,4,2,14,4,3
"304",1,0,1,0.552200000635783,2,2,6,36,2
"305",0,1,1,0.523033343982697,3,1,9,11,3
"306",0,0,1,0.548066697978973,2,2,6,23,2
"307",1,0,1,0.61163329073588,3,3,11,10,3
"308",0,0,1,0.489766651884715,1,3,3,22,1
"309",0,0,1,0.526566670163472,4,4,16,39,1
"310",1,0,0,0.489766651884715,4,3,15,22,1
"311",1,0,0,0.603233325068156,1,3,3,37,3
"312",1,0,1,0.537000003655752,2,3,7,14,2
"313",0,0,0,0.537000003655752,4,2,14,14,2
"314",0,0,1,0.505500021378199,1,3,3,24,2
"315",0,0,0,0.526566670163472,2,2,6,39,1
"316",1,0,0,0.548066697978973,3,3,11,23,2
"317",0,0,0,0.61163329073588,3,3,11,10,3
"318",1,0,1,0.523033343982697,2,4,8,11,3
"319",0,0,0,0.548066697978973,2,3,7,23,2
"320",0,0,1,0.526566670163472,1,2,2,39,1
"321",0,0,1,0.523033343982697,2,2,6,11,3
"322",0,0,0,0.489766651884715,2,4,8,22,1
"323",0,0,0,0.608066638533274,1,2,2,47,3
"324",0,0,0,0.489766651884715,1,2,2,22,1
"325",0,0,1,0.52436664425532,1,2,2,33,1
"326",0,0,0,0.537000003655752,1,1,1,14,2
"327",0,0,1,0.533566686375936,3,2,10,26,2
"328",1,0,1,0.665466688283284,3,3,11,28,2
"329",1,0,0,0.548066697978973,1,2,2,23,2
"330",1,0,0,0.564166665871938,2,4,8,31,1
"331",1,0,1,0.599733334604899,2,3,7,42,2
"332",0,0,0,0.564166665871938,4,2,14,31,1
"333",1,0,1,0.594033358287811,4,1,13,44,3
"334",1,1,0,0.571833309491475,2,3,7,34,3
"335",1,0,0,0.523033343982697,1,3,3,11,3
"336",0,0,0,0.537000003655752,2,2,6,14,2
"337",0,1,0,0.52436664425532,1,2,2,33,1
"338",1,0,1,0.554300017801921,4,4,16,43,3
"339",1,0,1,0.581833334445953,4,1,13,15,2
"340",0,0,1,0.581833334445953,2,3,7,15,2
"341",0,0,0,0.564166665871938,4,2,14,31,1
"342",0,0,1,0.489766651884715,2,4,8,22,1
"343",1,0,1,0.533566686375936,3,2,10,26,2
"344",1,1,1,0.565133328723908,2,1,5,1,3
"345",1,0,0,0.493566658401489,2,2,6,49,1
"346",0,0,1,0.537000003655752,3,2,10,14,2
"347",1,0,1,0.52436664425532,1,2,2,33,1
"348",0,0,0,0.52436664425532,4,2,14,33,1
"349",1,0,0,0.564166665871938,2,4,8,31,1
"350",0,0,0,0.608066638533274,2,4,8,47,3
"351",1,0,0,0.552200000635783,3,3,11,36,2
"352",1,0,0,0.52436664425532,3,1,9,33,1
"353",0,0,1,0.52436664425532,2,3,7,33,1
"354",0,0,0,0.632033331902822,2,2,6,30,1
"355",0,0,1,0.489766651884715,1,2,2,22,1
"356",1,0,1,0.594033358287811,3,4,12,44,3
"357",NA,0,0,0.565133328723908,2,4,8,1,3
"358",NA,0,0,0.52436664425532,4,1,13,33,1
"359",1,0,0,0.582999997297923,2,3,7,25,3
"360",1,0,1,0.52436664425532,2,4,8,33,1
"361",1,0,1,0.548066697978973,3,2,10,23,2
"362",0,0,1,0.548066697978973,3,2,10,23,2
"363",1,0,0,0.572766618665059,3,4,12,41,3
"364",1,0,1,0.505500021378199,3,3,11,24,2
"365",1,0,0,0.478700007629395,2,2,6,40,1
"366",0,0,1,0.594033358287811,3,2,10,44,3
"367",0,0,0,0.489766651884715,2,2,6,22,1
"368",0,0,1,0.505500021378199,4,1,13,24,2
"369",1,0,0,0.559299989509582,2,2,6,46,1
"370",0,0,1,0.564166665871938,2,3,7,31,1
"371",0,0,1,0.52436664425532,2,3,7,33,1
"372",1,0,0,0.594033358287811,1,2,2,44,3
"373",1,0,0,0.552200000635783,2,3,7,36,2
"374",0,0,1,0.571833309491475,3,2,10,34,3
"375",1,0,1,0.572766618665059,2,4,8,41,3
"376",0,0,1,0.584099987602234,2,2,6,19,3
"377",1,0,0,0.564166665871938,1,4,4,31,1
"378",1,0,1,0.584099987602234,1,2,2,19,3
"379",1,1,1,0.608066638533274,1,2,2,47,3
"380",NA,0,0,0.548066697978973,2,4,8,23,2
"381",1,0,1,0.564166665871938,2,2,6,31,1
"382",0,0,1,0.478700007629395,2,4,8,40,1
"383",1,0,0,0.572766618665059,3,2,10,41,3
"384",1,0,0,0.61163329073588,1,4,4,10,3
"385",0,1,1,0.537000003655752,1,4,4,14,2
"386",0,0,1,0.489766651884715,3,2,10,22,1
"387",0,0,0,0.564166665871938,3,4,12,31,1
"388",0,0,0,0.61163329073588,3,2,10,10,3
"389",1,0,1,0.594033358287811,3,3,11,44,3
"390",1,0,1,0.526566670163472,1,2,2,39,1
"391",1,0,1,0.493566658401489,1,1,1,49,1
"392",1,0,1,0.523033343982697,2,2,6,11,3
"393",0,0,0,0.52436664425532,3,4,12,33,1
"394",0,0,0,0.61163329073588,1,3,3,10,3
"395",1,0,1,0.523033343982697,2,3,7,11,3
"396",1,0,0,0.571833309491475,2,2,6,34,3
"397",1,0,0,0.571833309491475,4,1,13,34,3
"398",1,0,0,0.533566686375936,2,3,7,26,2
"399",1,0,1,0.548066697978973,3,2,10,23,2
"400",1,0,0,0.52436664425532,2,4,8,33,1
"401",1,0,1,0.501166654507319,1,3,3,21,1
"402",1,0,0,0.608066638533274,1,4,4,47,3
"403",1,0,1,0.523033343982697,3,4,12,11,3
"404",NA,0,0,0.61163329073588,2,4,8,10,3
"405",1,0,1,0.608066638533274,2,2,6,47,3
"406",1,0,1,0.602099974091848,2,3,7,17,2
"407",1,0,0,0.489766651884715,2,4,8,22,1
"408",1,0,0,0.52436664425532,2,4,8,33,1
"409",1,1,0,0.61163329073588,2,1,5,10,3
"410",1,0,0,0.594033358287811,4,2,14,44,3
"411",1,1,1,0.52436664425532,1,4,4,33,1
"412",1,0,1,0.582999997297923,3,2,10,25,3
"413",1,0,0,0.548066697978973,2,2,6,23,2
"414",1,0,0,0.584099987602234,1,2,2,19,3
"415",0,1,0,0.501166654507319,1,2,2,21,1
"416",0,0,0,0.493566658401489,3,2,10,49,1
"417",0,0,1,0.572766618665059,4,2,14,41,3
"418",1,0,1,0.493566658401489,2,2,6,49,1
"419",NA,0,1,0.526566670163472,3,3,11,39,1
"420",NA,0,1,0.584099987602234,4,1,13,19,3
"421",0,0,1,0.52436664425532,2,4,8,33,1
"422",0,0,0,0.526566670163472,4,4,16,39,1
"423",0,1,1,0.523033343982697,3,2,10,11,3
"424",1,0,1,0.526566670163472,4,2,14,39,1
"425",1,0,0,0.61163329073588,1,2,2,10,3
"426",1,0,1,0.61163329073588,2,2,6,10,3
"427",NA,0,0,0.505500021378199,2,4,8,24,2
"428",0,0,1,0.501166654507319,3,2,10,21,1
"429",1,0,1,0.594033358287811,3,4,12,44,3
"430",1,0,1,0.594033358287811,2,4,8,44,3
"431",NA,0,0,0.505500021378199,2,4,8,24,2
"432",1,0,1,0.52436664425532,3,2,10,33,1
"433",1,0,0,0.594033358287811,4,4,16,44,3
"434",1,0,1,0.529166691144307,2,2,6,18,3
"435",1,0,1,0.594033358287811,4,4,16,44,3
"436",1,0,1,0.554300017801921,2,4,8,43,3
"437",NA,0,1,0.52436664425532,3,2,10,33,1
"438",1,0,1,0.52436664425532,3,4,12,33,1
"439",1,0,1,0.594033358287811,1,2,2,44,3
"440",1,0,0,0.571833309491475,1,2,2,34,3
"441",1,0,0,0.564166665871938,1,3,3,31,1
"442",1,0,1,0.543666702906291,4,2,14,5,4
"443",1,0,1,0.571833309491475,2,4,8,34,3
"444",1,0,0,0.564166665871938,2,1,5,31,1
